Document1,Document2,Similarity%
datasets/real/doc_2.txt,datasets/real/doc_41.txt,7.23
datasets/real/doc_2.txt,datasets/real/doc_42.txt,18.42
datasets/real/doc_2.txt,datasets/real/doc_43.txt,9.76
datasets/real/doc_2.txt,datasets/real/doc_44.txt,8.75
datasets/real/doc_2.txt,datasets/real/doc_45.txt,7.59
datasets/real/doc_2.txt,datasets/real/doc_46.txt,3.57
datasets/real/doc_2.txt,datasets/real/doc_47.txt,9.76
datasets/real/doc_2.txt,datasets/real/doc_48.txt,14.10
datasets/real/doc_2.txt,datasets/real/doc_49.txt,4.76
datasets/real/doc_2.txt,datasets/real/doc_50.txt,7.14
datasets/real/doc_2.txt,datasets/real/doc_51.txt,13.92
datasets/real/doc_2.txt,datasets/real/doc_52.txt,2.35
datasets/real/doc_2.txt,datasets/real/doc_53.txt,7.06
datasets/real/doc_2.txt,datasets/real/doc_54.txt,17.33
datasets/real/doc_2.txt,datasets/real/doc_55.txt,2.38
datasets/real/doc_2.txt,datasets/real/doc_56.txt,13.75
datasets/real/doc_2.txt,datasets/real/doc_57.txt,7.14
datasets/real/doc_2.txt,datasets/real/doc_58.txt,5.81
datasets/real/doc_2.txt,datasets/real/doc_59.txt,6.17
datasets/real/doc_2.txt,datasets/real/doc_60.txt,18.67
datasets/real/doc_2.txt,datasets/real/doc_61.txt,10.98
datasets/real/doc_2.txt,datasets/real/doc_62.txt,10.13
datasets/real/doc_2.txt,datasets/real/doc_63.txt,6.17
datasets/real/doc_2.txt,datasets/real/doc_64.txt,7.14
datasets/real/doc_2.txt,datasets/real/doc_65.txt,7.41
datasets/real/doc_2.txt,datasets/real/doc_66.txt,8.64
datasets/real/doc_2.txt,datasets/real/doc_67.txt,11.54
datasets/real/doc_2.txt,datasets/real/doc_68.txt,7.23
datasets/real/doc_2.txt,datasets/real/doc_69.txt,6.33
datasets/real/doc_2.txt,datasets/real/doc_70.txt,3.49
datasets/real/doc_2.txt,datasets/real/doc_71.txt,3.49
datasets/real/doc_2.txt,datasets/real/doc_72.txt,4.82
datasets/real/doc_2.txt,datasets/real/doc_73.txt,4.88
datasets/real/doc_2.txt,datasets/real/doc_74.txt,6.10
datasets/real/doc_2.txt,datasets/real/doc_75.txt,2.30
datasets/real/doc_2.txt,datasets/real/doc_76.txt,5.88
datasets/real/doc_2.txt,datasets/real/doc_77.txt,8.86
datasets/real/doc_2.txt,datasets/real/doc_78.txt,5.00
datasets/real/doc_2.txt,datasets/real/doc_79.txt,8.43
datasets/real/doc_2.txt,datasets/real/doc_80.txt,8.54
datasets/real/doc_2.txt,datasets/real/doc_81.txt,5.95
datasets/real/doc_2.txt,datasets/real/doc_82.txt,3.53
datasets/real/doc_2.txt,datasets/real/doc_83.txt,10.26
datasets/real/doc_2.txt,datasets/real/doc_84.txt,7.23
datasets/real/doc_2.txt,datasets/real/doc_85.txt,13.75
datasets/real/doc_2.txt,datasets/real/doc_86.txt,12.99
datasets/real/doc_2.txt,datasets/real/doc_87.txt,11.25
datasets/real/doc_2.txt,datasets/real/doc_88.txt,14.29
datasets/real/doc_2.txt,datasets/real/doc_89.txt,4.65
datasets/real/doc_2.txt,datasets/real/doc_90.txt,4.71
datasets/real/doc_2.txt,datasets/real/doc_91.txt,1.16
datasets/real/doc_2.txt,datasets/real/doc_92.txt,2.33
datasets/real/doc_2.txt,datasets/real/doc_93.txt,9.76
datasets/real/doc_2.txt,datasets/real/doc_94.txt,11.11
datasets/real/doc_2.txt,datasets/real/doc_95.txt,7.50
datasets/real/doc_2.txt,datasets/real/doc_96.txt,12.35
datasets/real/doc_2.txt,datasets/real/doc_97.txt,14.10
datasets/real/doc_2.txt,datasets/real/doc_98.txt,13.92
datasets/real/doc_2.txt,datasets/real/doc_99.txt,3.41
datasets/real/doc_2.txt,datasets/real/doc_100.txt,12.82
datasets/real/doc_3.txt,datasets/real/doc_4.txt,16.46
datasets/real/doc_3.txt,datasets/real/doc_5.txt,12.66
datasets/real/doc_3.txt,datasets/real/doc_6.txt,20.00
datasets/real/doc_3.txt,datasets/real/doc_7.txt,4.76
datasets/real/doc_3.txt,datasets/real/doc_8.txt,17.11
datasets/real/doc_3.txt,datasets/real/doc_9.txt,21.62
datasets/real/doc_3.txt,datasets/real/doc_10.txt,6.98
datasets/real/doc_3.txt,datasets/real/doc_11.txt,20.55
datasets/real/doc_3.txt,datasets/real/doc_12.txt,27.54
datasets/real/doc_3.txt,datasets/real/doc_13.txt,11.39
datasets/real/doc_3.txt,datasets/real/doc_14.txt,11.54
datasets/real/doc_3.txt,datasets/real/doc_15.txt,21.05
datasets/real/doc_3.txt,datasets/real/doc_16.txt,9.88
datasets/real/doc_3.txt,datasets/real/doc_17.txt,9.41
datasets/real/doc_3.txt,datasets/real/doc_18.txt,15.38
datasets/real/doc_3.txt,datasets/real/doc_19.txt,5.95
datasets/real/doc_3.txt,datasets/real/doc_20.txt,11.11
datasets/real/doc_3.txt,datasets/real/doc_21.txt,18.42
datasets/real/doc_3.txt,datasets/real/doc_22.txt,9.76
datasets/real/doc_3.txt,datasets/real/doc_23.txt,9.76
datasets/real/doc_3.txt,datasets/real/doc_24.txt,7.14
datasets/real/doc_3.txt,datasets/real/doc_25.txt,4.65
datasets/real/doc_3.txt,datasets/real/doc_26.txt,16.88
datasets/real/doc_3.txt,datasets/real/doc_27.txt,18.18
datasets/real/doc_3.txt,datasets/real/doc_28.txt,12.66
datasets/real/doc_3.txt,datasets/real/doc_29.txt,7.14
datasets/real/doc_3.txt,datasets/real/doc_30.txt,9.52
datasets/real/doc_3.txt,datasets/real/doc_31.txt,15.00
datasets/real/doc_3.txt,datasets/real/doc_32.txt,20.00
datasets/real/doc_3.txt,datasets/real/doc_33.txt,4.76
datasets/real/doc_3.txt,datasets/real/doc_34.txt,18.42
datasets/real/doc_3.txt,datasets/real/doc_35.txt,18.92
datasets/real/doc_3.txt,datasets/real/doc_36.txt,11.11
datasets/real/doc_3.txt,datasets/real/doc_37.txt,18.67
datasets/real/doc_3.txt,datasets/real/doc_38.txt,21.33
datasets/real/doc_3.txt,datasets/real/doc_39.txt,7.32
datasets/real/doc_3.txt,datasets/real/doc_40.txt,4.71
datasets/real/doc_3.txt,datasets/real/doc_41.txt,18.42
datasets/real/doc_3.txt,datasets/real/doc_42.txt,21.33
datasets/real/doc_3.txt,datasets/real/doc_43.txt,12.35
datasets/real/doc_3.txt,datasets/real/doc_44.txt,11.39
datasets/real/doc_3.txt,datasets/real/doc_45.txt,11.69
datasets/real/doc_3.txt,datasets/real/doc_46.txt,8.64
datasets/real/doc_3.txt,datasets/real/doc_47.txt,15.19
datasets/real/doc_3.txt,datasets/real/doc_48.txt,23.29
datasets/real/doc_3.txt,datasets/real/doc_49.txt,5.95
datasets/real/doc_3.txt,datasets/real/doc_50.txt,16.67
datasets/real/doc_3.txt,datasets/real/doc_51.txt,28.17
datasets/real/doc_3.txt,datasets/real/doc_52.txt,4.76
datasets/real/doc_3.txt,datasets/real/doc_53.txt,10.84
datasets/real/doc_3.txt,datasets/real/doc_54.txt,27.14
datasets/real/doc_3.txt,datasets/real/doc_55.txt,6.10
datasets/real/doc_3.txt,datasets/real/doc_56.txt,22.67
datasets/real/doc_3.txt,datasets/real/doc_57.txt,15.19
datasets/real/doc_3.txt,datasets/real/doc_58.txt,19.48
datasets/real/doc_3.txt,datasets/real/doc_59.txt,10.13
datasets/real/doc_3.txt,datasets/real/doc_60.txt,16.88
datasets/real/doc_3.txt,datasets/real/doc_61.txt,16.46
datasets/real/doc_3.txt,datasets/real/doc_62.txt,15.79
datasets/real/doc_3.txt,datasets/real/doc_63.txt,14.47
datasets/real/doc_3.txt,datasets/real/doc_64.txt,15.19
datasets/real/doc_3.txt,datasets/real/doc_65.txt,10.00
datasets/real/doc_3.txt,datasets/real/doc_66.txt,9.88
datasets/real/doc_3.txt,datasets/real/doc_67.txt,15.79
datasets/real/doc_3.txt,datasets/real/doc_68.txt,26.76
datasets/real/doc_3.txt,datasets/real/doc_69.txt,18.06
datasets/real/doc_3.txt,datasets/real/doc_70.txt,7.14
datasets/real/doc_3.txt,datasets/real/doc_71.txt,2.27
datasets/real/doc_3.txt,datasets/real/doc_72.txt,7.32
datasets/real/doc_3.txt,datasets/real/doc_73.txt,11.54
datasets/real/doc_3.txt,datasets/real/doc_74.txt,14.29
datasets/real/doc_3.txt,datasets/real/doc_75.txt,4.65
datasets/real/doc_3.txt,datasets/real/doc_76.txt,7.06
datasets/real/doc_3.txt,datasets/real/doc_77.txt,8.75
datasets/real/doc_3.txt,datasets/real/doc_78.txt,19.72
datasets/real/doc_3.txt,datasets/real/doc_79.txt,8.33
datasets/real/doc_3.txt,datasets/real/doc_80.txt,11.11
datasets/real/doc_3.txt,datasets/real/doc_81.txt,8.43
datasets/real/doc_3.txt,datasets/real/doc_82.txt,8.54
datasets/real/doc_3.txt,datasets/real/doc_83.txt,17.57
datasets/real/doc_3.txt,datasets/real/doc_84.txt,15.38
datasets/real/doc_3.txt,datasets/real/doc_85.txt,22.67
datasets/real/doc_3.txt,datasets/real/doc_86.txt,17.33
datasets/real/doc_3.txt,datasets/real/doc_87.txt,23.29
datasets/real/doc_3.txt,datasets/real/doc_88.txt,18.67
datasets/real/doc_3.txt,datasets/real/doc_89.txt,9.64
datasets/real/doc_3.txt,datasets/real/doc_90.txt,9.76
datasets/real/doc_3.txt,datasets/real/doc_91.txt,2.33
datasets/real/doc_3.txt,datasets/real/doc_92.txt,7.23
datasets/real/doc_3.txt,datasets/real/doc_93.txt,18.18
datasets/real/doc_3.txt,datasets/real/doc_94.txt,18.18
datasets/real/doc_3.txt,datasets/real/doc_95.txt,11.54
datasets/real/doc_3.txt,datasets/real/doc_96.txt,21.05
datasets/real/doc_3.txt,datasets/real/doc_97.txt,20.00
datasets/real/doc_3.txt,datasets/real/doc_98.txt,26.39
datasets/real/doc_3.txt,datasets/real/doc_99.txt,9.52
datasets/real/doc_3.txt,datasets/real/doc_100.txt,11.25
datasets/real/doc_4.txt,datasets/real/doc_5.txt,24.66
datasets/real/doc_4.txt,datasets/real/doc_6.txt,13.58
datasets/real/doc_4.txt,datasets/real/doc_7.txt,9.76
datasets/real/doc_4.txt,datasets/real/doc_8.txt,18.18
datasets/real/doc_4.txt,datasets/real/doc_9.txt,22.67
datasets/real/doc_4.txt,datasets/real/doc_10.txt,9.30
datasets/real/doc_4.txt,datasets/real/doc_11.txt,18.42
datasets/real/doc_4.txt,datasets/real/doc_12.txt,18.42
datasets/real/doc_4.txt,datasets/real/doc_13.txt,12.50
datasets/real/doc_4.txt,datasets/real/doc_14.txt,9.88
datasets/real/doc_4.txt,datasets/real/doc_15.txt,22.08
datasets/real/doc_4.txt,datasets/real/doc_16.txt,7.06
datasets/real/doc_4.txt,datasets/real/doc_17.txt,15.85
datasets/real/doc_4.txt,datasets/real/doc_18.txt,16.46
datasets/real/doc_4.txt,datasets/real/doc_19.txt,8.33
datasets/real/doc_4.txt,datasets/real/doc_20.txt,12.20
datasets/real/doc_4.txt,datasets/real/doc_21.txt,22.67
datasets/real/doc_4.txt,datasets/real/doc_22.txt,9.52
datasets/real/doc_4.txt,datasets/real/doc_23.txt,13.58
datasets/real/doc_4.txt,datasets/real/doc_24.txt,10.84
datasets/real/doc_4.txt,datasets/real/doc_25.txt,6.98
datasets/real/doc_4.txt,datasets/real/doc_26.txt,13.58
datasets/real/doc_4.txt,datasets/real/doc_27.txt,20.78
datasets/real/doc_4.txt,datasets/real/doc_28.txt,16.67
datasets/real/doc_4.txt,datasets/real/doc_29.txt,12.20
datasets/real/doc_4.txt,datasets/real/doc_30.txt,8.05
datasets/real/doc_4.txt,datasets/real/doc_31.txt,20.51
datasets/real/doc_4.txt,datasets/real/doc_32.txt,16.46
datasets/real/doc_4.txt,datasets/real/doc_33.txt,4.65
datasets/real/doc_4.txt,datasets/real/doc_34.txt,16.46
datasets/real/doc_4.txt,datasets/real/doc_35.txt,18.42
datasets/real/doc_4.txt,datasets/real/doc_36.txt,17.95
datasets/real/doc_4.txt,datasets/real/doc_37.txt,19.74
datasets/real/doc_4.txt,datasets/real/doc_38.txt,34.78
datasets/real/doc_4.txt,datasets/real/doc_39.txt,15.38
datasets/real/doc_4.txt,datasets/real/doc_40.txt,7.06
datasets/real/doc_4.txt,datasets/real/doc_41.txt,13.58
datasets/real/doc_4.txt,datasets/real/doc_42.txt,24.00
datasets/real/doc_4.txt,datasets/real/doc_43.txt,6.90
datasets/real/doc_4.txt,datasets/real/doc_44.txt,9.76
datasets/real/doc_4.txt,datasets/real/doc_45.txt,12.82
datasets/real/doc_4.txt,datasets/real/doc_46.txt,5.88
datasets/real/doc_4.txt,datasets/real/doc_47.txt,19.23
datasets/real/doc_4.txt,datasets/real/doc_48.txt,27.78
datasets/real/doc_4.txt,datasets/real/doc_49.txt,13.75
datasets/real/doc_4.txt,datasets/real/doc_50.txt,22.37
datasets/real/doc_4.txt,datasets/real/doc_51.txt,29.17
datasets/real/doc_4.txt,datasets/real/doc_52.txt,7.14
datasets/real/doc_4.txt,datasets/real/doc_53.txt,9.30
datasets/real/doc_4.txt,datasets/real/doc_54.txt,28.17
datasets/real/doc_4.txt,datasets/real/doc_55.txt,5.95
datasets/real/doc_4.txt,datasets/real/doc_56.txt,27.03
datasets/real/doc_4.txt,datasets/real/doc_57.txt,24.00
datasets/real/doc_4.txt,datasets/real/doc_58.txt,16.05
datasets/real/doc_4.txt,datasets/real/doc_59.txt,12.66
datasets/real/doc_4.txt,datasets/real/doc_60.txt,22.67
datasets/real/doc_4.txt,datasets/real/doc_61.txt,28.77
datasets/real/doc_4.txt,datasets/real/doc_62.txt,18.42
datasets/real/doc_4.txt,datasets/real/doc_63.txt,8.54
datasets/real/doc_4.txt,datasets/real/doc_64.txt,17.72
datasets/real/doc_4.txt,datasets/real/doc_65.txt,12.50
datasets/real/doc_4.txt,datasets/real/doc_66.txt,9.64
datasets/real/doc_4.txt,datasets/real/doc_67.txt,13.92
datasets/real/doc_4.txt,datasets/real/doc_68.txt,29.58
datasets/real/doc_4.txt,datasets/real/doc_69.txt,16.00
datasets/real/doc_4.txt,datasets/real/doc_70.txt,6.98
datasets/real/doc_4.txt,datasets/real/doc_71.txt,10.84
datasets/real/doc_4.txt,datasets/real/doc_72.txt,7.14
datasets/real/doc_4.txt,datasets/real/doc_73.txt,11.25
datasets/real/doc_4.txt,datasets/real/doc_74.txt,12.50
datasets/real/doc_4.txt,datasets/real/doc_75.txt,4.55
datasets/real/doc_4.txt,datasets/real/doc_76.txt,10.71
datasets/real/doc_4.txt,datasets/real/doc_77.txt,11.25
datasets/real/doc_4.txt,datasets/real/doc_78.txt,16.00
datasets/real/doc_4.txt,datasets/real/doc_79.txt,8.14
datasets/real/doc_4.txt,datasets/real/doc_80.txt,15.00
datasets/real/doc_4.txt,datasets/real/doc_81.txt,9.52
datasets/real/doc_4.txt,datasets/real/doc_82.txt,12.35
datasets/real/doc_4.txt,datasets/real/doc_83.txt,15.58
datasets/real/doc_4.txt,datasets/real/doc_84.txt,15.00
datasets/real/doc_4.txt,datasets/real/doc_85.txt,30.56
datasets/real/doc_4.txt,datasets/real/doc_86.txt,21.62
datasets/real/doc_4.txt,datasets/real/doc_87.txt,24.32
datasets/real/doc_4.txt,datasets/real/doc_88.txt,26.39
datasets/real/doc_4.txt,datasets/real/doc_89.txt,9.41
datasets/real/doc_4.txt,datasets/real/doc_90.txt,12.20
datasets/real/doc_4.txt,datasets/real/doc_91.txt,2.27
datasets/real/doc_4.txt,datasets/real/doc_92.txt,3.41
datasets/real/doc_4.txt,datasets/real/doc_93.txt,20.78
datasets/real/doc_4.txt,datasets/real/doc_94.txt,19.23
datasets/real/doc_4.txt,datasets/real/doc_95.txt,9.88
datasets/real/doc_4.txt,datasets/real/doc_96.txt,20.51
datasets/real/doc_4.txt,datasets/real/doc_97.txt,31.43
datasets/real/doc_4.txt,datasets/real/doc_98.txt,24.00
datasets/real/doc_4.txt,datasets/real/doc_99.txt,5.62
datasets/real/doc_4.txt,datasets/real/doc_100.txt,19.74
datasets/real/doc_5.txt,datasets/real/doc_6.txt,14.10
datasets/real/doc_5.txt,datasets/real/doc_7.txt,11.54
datasets/real/doc_5.txt,datasets/real/doc_8.txt,20.55
datasets/real/doc_5.txt,datasets/real/doc_9.txt,25.35
datasets/real/doc_5.txt,datasets/real/doc_10.txt,9.64
datasets/real/doc_5.txt,datasets/real/doc_11.txt,14.47
datasets/real/doc_5.txt,datasets/real/doc_12.txt,16.00
datasets/real/doc_5.txt,datasets/real/doc_13.txt,10.13
datasets/real/doc_5.txt,datasets/real/doc_14.txt,10.26
datasets/real/doc_5.txt,datasets/real/doc_15.txt,22.97
datasets/real/doc_5.txt,datasets/real/doc_16.txt,10.00
datasets/real/doc_5.txt,datasets/real/doc_17.txt,19.48
datasets/real/doc_5.txt,datasets/real/doc_18.txt,21.92
datasets/real/doc_5.txt,datasets/real/doc_19.txt,11.39
datasets/real/doc_5.txt,datasets/real/doc_20.txt,15.58
datasets/real/doc_5.txt,datasets/real/doc_21.txt,17.11
datasets/real/doc_5.txt,datasets/real/doc_22.txt,8.54
datasets/real/doc_5.txt,datasets/real/doc_23.txt,15.58
datasets/real/doc_5.txt,datasets/real/doc_24.txt,11.25
datasets/real/doc_5.txt,datasets/real/doc_25.txt,5.95
datasets/real/doc_5.txt,datasets/real/doc_26.txt,17.11
datasets/real/doc_5.txt,datasets/real/doc_27.txt,16.88
datasets/real/doc_5.txt,datasets/real/doc_28.txt,23.94
datasets/real/doc_5.txt,datasets/real/doc_29.txt,5.95
datasets/real/doc_5.txt,datasets/real/doc_30.txt,8.33
datasets/real/doc_5.txt,datasets/real/doc_31.txt,16.67
datasets/real/doc_5.txt,datasets/real/doc_32.txt,25.35
datasets/real/doc_5.txt,datasets/real/doc_33.txt,8.75
datasets/real/doc_5.txt,datasets/real/doc_34.txt,11.25
datasets/real/doc_5.txt,datasets/real/doc_35.txt,20.83
datasets/real/doc_5.txt,datasets/real/doc_36.txt,17.11
datasets/real/doc_5.txt,datasets/real/doc_37.txt,18.92
datasets/real/doc_5.txt,datasets/real/doc_38.txt,30.43
datasets/real/doc_5.txt,datasets/real/doc_39.txt,22.54
datasets/real/doc_5.txt,datasets/real/doc_40.txt,11.39
datasets/real/doc_5.txt,datasets/real/doc_41.txt,14.10
datasets/real/doc_5.txt,datasets/real/doc_42.txt,26.76
datasets/real/doc_5.txt,datasets/real/doc_43.txt,2.27
datasets/real/doc_5.txt,datasets/real/doc_44.txt,11.54
datasets/real/doc_5.txt,datasets/real/doc_45.txt,13.33
datasets/real/doc_5.txt,datasets/real/doc_46.txt,3.57
datasets/real/doc_5.txt,datasets/real/doc_47.txt,21.62
datasets/real/doc_5.txt,datasets/real/doc_48.txt,18.67
datasets/real/doc_5.txt,datasets/real/doc_49.txt,11.39
datasets/real/doc_5.txt,datasets/real/doc_50.txt,26.76
datasets/real/doc_5.txt,datasets/real/doc_51.txt,30.43
